[Parsed_ebur128_0 @ 0x65097e979840] t: 7.49998    TARGET:-23 LUFS    M: -26.2 S: -28.1     I: -29.9 LUFS       LRA:   4.4 LU  FTPK: -37.2 -37.4 dBFS  TPK: -17.1 -17.1 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 7.59998    TARGET:-23 LUFS    M: -28.1 S: -28.2     I: -29.9 LUFS       LRA:   4.4 LU  FTPK: -37.2 -37.2 dBFS  TPK: -17.1 -17.1 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 7.69998    TARGET:-23 LUFS    M: -35.4 S: -28.2     I: -29.9 LUFS       LRA:   4.4 LU  FTPK: -38.0 -37.9 dBFS  TPK: -17.1 -17.1 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 7.79998    TARGET:-23 LUFS    M: -46.1 S: -28.2     I: -29.9 LUFS       LRA:   4.4 LU  FTPK: -37.0 -37.0 dBFS  TPK: -17.1 -17.1 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 7.89998    TARGET:-23 LUFS    M: -46.0 S: -28.3     I: -29.9 LUFS       LRA:   4.4 LU  FTPK: -37.4 -37.4 dBFS  TPK: -17.1 -17.1 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 7.99998    TARGET:-23 LUFS    M: -46.2 S: -28.3     I: -29.9 LUFS       LRA:   4.3 LU  FTPK: -38.8 -39.2 dBFS  TPK: -17.1 -17.1 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 8.09998    TARGET:-23 LUFS    M: -46.1 S: -28.3     I: -29.9 LUFS       LRA:   4.3 LU  FTPK: -37.9 -38.7 dBFS  TPK: -17.1 -17.1 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 8.19998    TARGET:-23 LUFS    M: -32.8 S: -28.2     I: -29.9 LUFS       LRA:   4.3 LU  FTPK: -19.4 -19.6 dBFS  TPK: -17.1 -17.1 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 8.29998    TARGET:-23 LUFS    M: -25.1 S: -27.4     I: -29.8 LUFS       LRA:   4.4 LU  FTPK: -17.3 -17.2 dBFS  TPK: -17.1 -17.1 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 8.39998    TARGET:-23 LUFS    M: -22.8 S: -26.8     I: -29.6 LUFS       LRA:   4.4 LU  FTPK: -17.0 -17.1 dBFS  TPK: -17.0 -17.1 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 8.49998    TARGET:-23 LUFS    M: -21.8 S: -26.4     I: -29.3 LUFS       LRA:   4.4 LU  FTPK: -17.2 -17.3 dBFS  TPK: -17.0 -17.1 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 8.59998    TARGET:-23 LUFS    M: -20.6 S: -25.8     I: -29.0 LUFS       LRA:   5.0 LU  FTPK: -17.2 -17.3 dBFS  TPK: -17.0 -17.1 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 8.69998    TARGET:-23 LUFS    M: -21.8 S: -25.7     I: -28.8 LUFS       LRA:   5.6 LU  FTPK: -19.1 -19.2 dBFS  TPK: -17.0 -17.1 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 8.79998    TARGET:-23 LUFS    M: -22.7 S: -25.5     I: -28.6 LUFS       LRA:   6.0 LU  FTPK: -17.0 -17.1 dBFS  TPK: -17.0 -17.1 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 8.89998    TARGET:-23 LUFS    M: -22.9 S: -25.3     I: -28.5 LUFS       LRA:   6.6 LU  FTPK: -17.8 -17.7 dBFS  TPK: -17.0 -17.1 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 8.99998    TARGET:-23 LUFS    M: -23.2 S: -24.9     I: -28.3 LUFS       LRA:   6.7 LU  FTPK: -17.8 -17.7 dBFS  TPK: -17.0 -17.1 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 9.09998    TARGET:-23 LUFS    M: -22.2 S: -24.6     I: -28.2 LUFS       LRA:   6.8 LU  FTPK: -17.5 -17.4 dBFS  TPK: -17.0 -17.1 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 9.19998    TARGET:-23 LUFS    M: -22.9 S: -24.6     I: -28.1 LUFS       LRA:   7.1 LU  FTPK: -24.8 -24.2 dBFS  TPK: -17.0 -17.1 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 9.29998    TARGET:-23 LUFS    M: -22.3 S: -24.4     I: -27.9 LUFS       LRA:   7.5 LU  FTPK: -17.5 -17.4 dBFS  TPK: -17.0 -17.1 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 9.39998    TARGET:-23 LUFS    M: -21.9 S: -24.3     I: -27.8 LUFS       LRA:   7.6 LU  FTPK: -17.2 -17.2 dBFS  TPK: -17.0 -17.1 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 9.49998    TARGET:-23 LUFS    M: -21.6 S: -24.1     I: -27.6 LUFS       LRA:   7.6 LU  FTPK: -17.1 -17.2 dBFS  TPK: -17.0 -17.1 dBFS
